<1>

{1,1}

[1,1.1]	athāto dharmajijñāsā.
[9,2.48]	aprākṛte tadvikārād virodhādyavatiṣṭheran.
[9,2.49]	ubhayasāmni caivam ekārthāpatteḥ.
[9,2.50]	svārthatvād vā vyavasthā syāt prakṛtivat.
[9,2.51]	pārvaṇahomayos tv apravṛttiḥ samudāyārthasaṃyogāt tadabhījyā hi.
[9,2.52]	kālasyeti cet.
[9,2.53]	nāprakaraṇatvāt.
[9,2.54]	mantravarṇāc ca.
[9,2.55]	tadabhāve 'gnivad iti cet.
[9,2.56]	nādhikārakatvāt.
[9,2.57]	ubhayor aviśeṣāt.
[9,2.58]	yadabhījyā vā tadviṣayau.
[9,2.59]	prayāje 'pīti cet.
[9,2.60]	nācoditatvāt.

{9,3}

[9,3.1]	prakṛtau yathotpattivacanam arthānāṃ tathottarasyāṃ tatau tatprakṛtitvātvād arthe cākāryatvāt.
[9,3.2]	liṅgadarśanāc ca.
[9,3.3]	jātinaimittikaṃ yathāsthānam.
[9,3.4]	avikāram eke 'nārṣatvāt.
[9,3.5]	liṅgadakśanāc ca.
[9,3.6]	nikāro vātaduktahetuḥ.
[9,3.7]	liṅgaṃ mantracikīrṣārtham.
[9,3.8]	niyamo vobhayabhāgitvāt.
[9,3.9]	laukike doṣasaṃyogād apavṛkte hi codyate nimittena prakṛtau syād abhāgitvāt.
[9,3.10]	anyāyas tv avikāreṇā draṣṭapratighātitvād aviśeṣāc ca tenāsya.
[9,3.11]	vikāro vā tadarthatvāt.
[9,3.12]	api tv anyāyasambandhāt prakṛtivat pareṣv api yathārthaṃ syāt.
[9,3.13]	yathārthaṃ tv anyāyasyācoditatvāt.
[9,3.14]	chandasi tu yathādṛṣṭam.
[9,3.15]	vipratipattau vikalpaḥ syāt tatsatvād guṇe tv anyāyakalpanaikadeśatvāt.
[9,3.16]	prakaraṇaviśeṣāc ca.
[9,3.17]	arthābhāvāt tu naivaṃ syād guṇamātram itarat.
[9,3.18]	dyāvos tatheti cet.
[9,3.19]	notpattiśabdatvāt.
[9,3.20]	apūrve tv avikāro 'pradeśāt pratīyeta.
[9,3.21]	vikṛtau cāpi tadvacanāt.
[9,3.22]	adhriguḥ savanīyeṣu tadvat samānavidhānāś cet.
[9,3.23]	pratinidhau cāvikārāt.
[9,3.24]	anāmnānād aśabdatvam abhāvāc cetarasya syāt.
[9,3.25]	tādarthyād vā tadākhyaṃ syāt saṃskārair aviśiṣṭatvāt.
[9,3.26]	uktañ ca tattvam asya.
[9,3.27]	saṃsargiṣu cārthasyāsthitaparimāṇatvāt.
[9,3.28]	liṅgadarśanāc ca.
[9,3.29]	ekadhety ekasaṃyogād abhyāsenābhidhānaṃ syāt.
[9,3.30]	avikāro vā bahūnām ekakarmavat.
[9,3.31]	sakṛttvaṃ caikadhyaṃ syād ekatvāt tvaco 'nabhipretaṃ tatprakṛtitvāt pareṣv abhyāsena vivṛddhāv abhidhānāṃ syāt.
[9,3.32]	medhapatitvaṃ svāmidevatasya samavāyāt sarvatra ca prayuktatvāt tasyācānyāyanigadatvāt sarvatraivāvikāraḥ syāt.
[9,3.33]	api vā dvisamavāyo 'rthānyatve yathāsaṃkhyaṃ prayogaḥ syāt.
[9,3.34]	svāmino vaikaśabdyād utkarṣo devatāyāṃ syāt patnyāṃ dvitīyaśabdaḥ syāt.
[9,3.35]	devatā tu tadāśīṣṭvāt samprāptatvāt svāminy anarthikā syāt.
[9,3.36]	utsargāc ca bhaktyā tasmin patitvaṃ syāt.
[9,3.37]	utkṛṣyetaikasaṃyukto dvidevate sambhavāt.
[9,3.38]	ekas tu samavāyāt tasya tallakṣaṇatvāt.
[9,3.39]	saṃsargitvāc ca tasmāt tena vikalpaḥ syāt.
[9,3.40]	ekatvepi guṇānapāyāt.
[9,3.41]	niyamo bahudevate vikāraḥ syāt.
[9,3.42]	vikalpo vā prakṛtivat.
[9,3.43]	arthāntare vikāraḥ syād devatāpṛthaktvād ekābhisamavāyāt syāt.

{9,4}

[9,4.1]	ṣaḍviṃśatir abhyāsena paśugaṇe tatprakṛtitvād gaṇasya pravibhaktatvād avikāre hi tāsām akārtsnyenābhisambandho vikārān na samāsaḥ syād asaṃyogāc ca sarvābhiḥ.
[9,4.2]	abhyāse 'pi tatheti cet.
[9,4.3]	na guṇād arthakṛtatvāc ca.
[9,4.4]	samāse 'pi tatheti cet.
[9,4.5]	nāsambhavāt.
[9,4.6]	svābhiś ca vacanaṃ prakṛtau tatheha syāt.
[9,4.7]	vaṅkrīṇāṃ tu pradhānatvāt samāsenābhidhānaṃ syāt prādhānyam adhrigos tadarthatvāt.
[9,4.8]	tāsāṃ ca kṛtsnavacanāt.
[9,4.9]	api tv asannipātitvāt patnīvad āmnātenābhidhānaṃ syāt.
[9,4.10]	vikāras tu pradeśatvād yajamānavat.
[9,4.11]	apūrvatvāt tathā patnyām.
[9,4.12]	anāmnātas tv avikārāt saṅkhyāsu sarvagāmitvāt.
[9,4.13]	saṅkhāyā tv evaṃ pradhānaṃ syād vaṅkrayaḥ punaḥ pradhānam.
[9,4.14]	anāmnātavacanam avacanena hi vaṅkrīṇāṃ syān nirdeśaḥ.
[9,4.15]	abhyāso vāvikārāt syāt.
[9,4.16]	paśus tv evaṃ prādhānaṃ syād abhyāsasya tannimittatvāt tasmāt samāsaśabdaḥ syāt.
[9,4.17]	aśvasya catustriṃśat tasya vacanād vaiśeṣikam.
[9,4.18]	tat pratiṣidhya prakṛtir niyujyate sā catustriṃśadvācyatvāt.
[9,4.19]	ṛg vā syād āmnātatvād avikalpaś ca nyāyyaḥ.
[9,4.20]	tasyāṃ tu vacanād airavatpadavikāraḥ syāt.
[9,4.21]	sarvapratiṣedho vāsaṃyogāt padena syāt.
[9,4.22]	vaniṣṭhusannidhānād urūkeṇa vapābhidhānam.
[9,4.23]	praśasāsyābhidhānam.
[9,4.24]	bāhupraśaṃsā vā.
[9,4.25]	śyenaśalākaśyapakavaṣastrekaparṇeṣv ākṛtivacanaṃ prasiddhasannidhānāt.
[9,4.26]	kārtsnyaṃ vā syāt tathābhāvāt.
[9,4.27]	adhrigoś ca tadarthatvāt.
[9,4.28]	prāsaṅgike prāyaścittaṃ na vidyate parārthatvāt tadarthe hi vidhīyate.
[9,4.29]	dhāraṇe ca parārthatvāt.
[9,4.30]	kriyārthatvād itareṣu karma syāt.
[9,4.31]	na tūtpanne yasya codanāprāptakālatvāt.
[9,4.32]	pradānadarśanaṃ śrapaṇe taddharmabhojanārthatvāt saṃsargāc ca madhūdakavat.
[9,4.33]	saṃskārapratiṣedhaś ca tadvat.
[9,4.34]	tatpratiṣedhe ca tathābhūtasya varjanāt.
[9,4.35]	adharmatvam apradānāt praṇītārthe vidhānād atulyatvād asaṃsargaḥ.
[9,4.36]	paro nityānuvādaḥ syāt.
[9,4.37]	vihitapratiṣedho vā.
[9,4.38]	varjane guṇabhāvitvāt taduktapratiṣedhāt syāt kāraṇāt kevalāśanam.
[9,4.39]	vratadharmāc ca lepavat.
[9,4.40]	rasapratiṣedho vā puruṣadharmatvāt.
[9,4.41]	abhyudaye dohāpanayaḥ svadharmā syāt pravṛttatvāt.
[9,4.42]	śṛtopadeśāc ca.
[9,4.43]	apanayo vārthāntare vidhānāc carupayovat.
[9,4.44]	lakṣaṇārthā śṛtaśrutiḥ.
[9,4.45]	śrayaṇānāṃ tv apūrvatvāt pradānārthe vidhānaṃ syāt.
[9,4.46]	guṇo vā śrayaṇārthatvāt.
[9,4.47]	anirdeśāc ca.
[9,4.48]	śruteśca tatpradhānatvat.
[9,4.49]	arthavādaś ca tadarthatvāt.
[9,4.50]	saṃskāraṃ prati bhāvāc ca tasmād apy apradhānam.
[9,4.51]	paryagnikṛtānām utsarge tādarthyam upadhānavat.
[9,4.52]	śeṣapratiṣedho vārthābhāvād iḍāntavat.
[9,4.53]	pūrvatvāc ca śabdasya saṃsthāpayatīti cāprabṛttenopapadyate.
[9,4.54]	prabṛtter yajñahetutvāt pratiṣedhe saṃskārāṇām akarma syāt tatkāritatvād yathā prayājapratiṣedhe grahaṇam ājyasya.
[9,4.55]	kriyā vā syād avacchedād akarma sarvahānaṃ syāt.
[9,4.56]	ājyasaṃsthāpratinidhiḥ syād dravyotsargāt.
[9,4.57]	samāptivacanāt.
[9,4.58]	codanā vā karmotsargād anyaiḥ syād aviśiṣṭatvāt.
[9,4.59]	anijyāṃ ca vanaspateḥ prasiddhāntena darśayati.
[9,4.60]	saṃsthā taddevatatvāt syāt.

<10>

{10,1}

[10,1.1]	vidheḥ prakaraṇāntare 'tideśāt sarvakarma syāt.
[10,1.2]	api vābhidhānasaṃskāradravyam arthe kriyeta tādarthyāt.
[10,1.3]	teṣām apratyakṣaviśiṣṭatvāt.
[10,1.4]	iṣṭhir ārambhasaṃyogād aṅgabhūtān nivartetāramabhasya pradhānasaṃyogāt.
[10,1.5]	pradhānāc cānyasaṃyuktāt sarvārambhān nivartetānaṅgatvāt.
[10,1.6]	tasyāṃ tu syāt prayājavat.
[10,1.7]	na vāṅgabhūtatvāt.
[10,1.8]	ekavākyatvāc ca.
[10,1.9]	karma ca dravyasaṃyogārtham arthābhāvān nivarteta tādarthyaṃ śrutisaṃyogāt.
[10,1.10]	sthāṇau tu deśamātratvād anibṛttiḥ pratīyeta.
[10,1.11]	api vā śeṣabhūtatvāt saṃskāraḥ pratīyeta.
[10,1.12]	samākhyānaṃ ca tadvat.
[10,1.13]	mantravarṇaś ca tadvat.
[10,1.14]	prayāje ca tannyāyatvāt.
[10,1.15]	liṅgadarśanāc ca.
[10,1.16]	tathājyabhāgāgnir apīti cet.
[10,1.17]	vyapadeśād devatāntaram.
[10,1.18]	samatvāc ca.
[10,1.19]	paśāvapīti cet.
[10,1.20]	na tadabhūtavacanāt.
[10,1.21]	liṅgadarśanāc ca.
[10,1.22]	guṇo vā syāt kapālavad guṇabhūtavikārāc ca.
[10,1.23]	api vā śeṣabhūtatvāt tatsaṃskāraḥ pratīyeta svāhākāravad aṅgānām arthasaṃyogāt.
[10,1.24]	vyṛddhavacanañ ca vipratipattau tadarthatvāt.
[10,1.25]	guṇepīti cet.
[10,1.26]	nāsaṃhānāt karālavat.
[10,1.27]	grahāṇāñ ca sampratipattau tadvacanaṃ tadartvāt.
[10,1.28]	grahābhāve ca tadvacanam.
[10,1.29]	devatāyāś ca hetutvaṃ prasiddhaṃ tena darśayati.
[10,1.30]	aviruddhopapattir arthāpatteḥ śṛtavad bhūtavikāraḥ syāt.
[10,1.31]	sa dvyarthaḥ syād ubhayoḥ śrutibhūtatvād vipratipattau tādarthyād vikāratvam uktaṃ tasyārthavādatvam.
[10,1.32]	vipratipattau tāsām ākhyāvikāraḥ syāt.
[10,1.33]	abhyāso vā prayājavad ekadeśo 'nyadevatyaḥ.
[10,1.34]	carur havirvikāraḥ syād ijyāsaṃyogāt.
[10,1.35]	prasiddhagrahaṇatvāc ca.
[10,1.36]	odano vānnasaṃyogāt.
[10,1.37]	na dvyarthatvāt.
[10,1.38]	kapālavikāro vā viśaye 'rthopapattibhyām.
[10,1.39]	guṇamukhyaviśeṣāc ca.
[10,1.40]	tacchrutau cānyahaviṣṭhvāt.
[10,1.41]	liṅgadarśanāc ca.
[10,1.42]	odano vā prayuktatvāt.
[10,1.43]	apūrvavyapadeśāc ca.
[10,1.44]	tathā ca liṅgadarśanam.
[10,1.45]	sa kapāle prakṛtyā syād anyasya cāśrutitvāt.
[10,1.46]	ekasmin vā vipratiṣedhāt.
[10,1.47]	na vārthāntarasaṃyogād apūpe pākasaṃyuktaṃ dhāraṇārthaṃ carau bhavati tatrārthāt pātralābhaḥ syād aniyamo 'viśeṣāt.
[10,1.48]	carau vā liṅgadarśanāt.
[10,1.49]	tasmin peṣaṇam anarthalopāt syāt.
[10,1.50]	akriyā vā apūpahetutvāt.
[10,1.51]	piṇḍārthatvāc ca saṃyavanam.
[10,1.52]	saṃvapanañ ca tādarthyāt.
[10,1.53]	santāpanam adhaḥśrapaṇāt.
[10,1.54]	upadhānaṃ ca tādarthyāt.
[10,1.55]	pṛthuślakṣṇe vānapūpatvāt.
[10,1.56]	abhyūhaś coparipākārthatvāt.
[10,1.57]	tathāvajvalanam.
[10,1.58]	vyuddhṛtyāsādanaṃ ca prakṛtāvaśrutitvāt.

{10,2}

[10,2.1]	kṛṣṇaleṣvarthalopākaḥ syāt.
[10,2.2]	syād vā pratyakṣaśiṣṭatvāt pradānavat.
[10,2.3]	upastaraṇābhighāraṇayor amṛtārthatvād akarma syāt.
[10,2.4]	kriyeta vārthavādatvāt tayoḥ saṃsargahetutvāt.
[10,2.5]	akarma vā caturbhir āptivacanāt saha pūrṇaṃ punaś caturavattam.
[10,2.6]	kriyā vā mukhyāvadānaparimāṇāt sāmanyāt tadguṇatvam.
[10,2.7]	teṣāṃ caikāvadānatvāt.
[10,2.8]	āptiḥ saṃkhyā samānatvāt.
[10,2.9]	satos tv āptivacanaṃ vyartham.
[10,2.10]	vikalpas tv ekāvadānatvāt.
[10,2.11]	sarvavikāre tv abhyasānarthakyaṃ haviṣo hītarasya syād api vā sviṣṭakṛtaḥ syād itarasyānyāyyatvāt.
[10,2.12]	akarma vā saṃsargārthanivṛttatvāt tasmād āptisamarthatvaṃ.
[10,2.13]	bhakṣāṇāṃ tu pratyarthatvād akarma syāt.
[10,2.14]	syād vā nirdhānadarśanāt.
[10,2.15]	vacanaṃ vājyabhakṣasya prakṛtau syād abhāgitvāt.
[10,2.16]	vacanaṃ vā hiraṇyasya pradānavadājyasya guṇabhūtatvāt.
[10,2.17]	ekadhopahāre sahatvaṃ brahmabhakṣāṇāṃ prakṛtau vihitatvāt.
[10,2.18]	sarvatvaṃ ca teṣām adhikārāt syāt.
[10,2.19]	puruṣāpanayo vā teṣām avācyatvāt.
[10,2.20]	puruṣāpanayāt svakālatvam.
[10,2.21]	ekārthatvād avibhāgaḥ syāt.
[10,2.22]	ṛtvigdānaṃ dharmamātrārthaṃ syād dadātisāmarthyāt.
[10,2.23]	parikrayārthaṃ vā karmasaṃyogāl lokavat.
[10,2.24]	dakṣiṇāyuktavacanāc ca.
[10,2.25]	nacānyenānamyeta parikrīyāt karmaṇaḥ parārthatvāt.
[10,2.26]	parikrītavacanāc ca.
[10,2.27]	sanivanyeva bhṛti vacanāt.
[10,2.28]	naiṣkartṛkeṇa saṃstavāc ca.
[10,2.29]	śeṣabhakṣāś ca tadvat.
[10,2.30]	saṃskāro vā dravyasya parārthatvāt.
[10,2.31]	śeṣe ca samatvāt.
[10,2.32]	svāmini ta darśanāt tatsāmānyād itareṣāntathātvam.
[10,2.33]	tathā cānyārthadarśanam.
[10,2.34]	varaṇamṛtvijāmānamanārthatvāt satre na syāt svakarmatvāt.
[10,2.35]	parikrayaś ca tādarthyāt.
[10,2.36]	pratiṣedhaś ca karmavat.
[10,2.37]	syād vā prāsarpikasya dharmamātratvāt.
[10,2.38]	na dakṣiṇāśabdāt tasmān nityānuvādaḥ syāt.
[10,2.39]	udavasānīyaḥ satradharmā syāt tadaṅgatvāt tatra dāne dharmamātraṃ syāt.
[10,2.40]	na tv etat prakṛtitvād vibhaktacoditatvāc ca.
[10,2.41]	teṣāṃ tu vacanād dviyajñavatsahaprayogaḥ syāt.
[10,2.42]	tatrānyān ṛtvijo vṛṇīran.
[10,2.43]	ekaikaśas tv avipratiṣedhāt prakṛteś caikasaṃyogāt.
[10,2.44]	kāmeṣṭau ca dānaśabdāt.
[10,2.45]	vacanaṃ vā satratvāt.
[10,2.46]	dveṣye ca codanād dakṣiṇāpanayāt.
[10,2.47]	asthiyajño 'vipratiṣedhād itareṣāṃ syād vipratiṣedhād asthnām.
[10,2.48]	yāvāduktam upayogaḥ syāt.
[10,2.49]	yadi tu vacanāt teṣāṃ japasaṃskāram arthaluptaṃ seṣṭi tadarthatvāt.
[10,2.49*.]	kratvarthaṃ tu kriyeta guṇabhūtatvāt.
[10,2.50]	kāmyāni tu na vidyante kāmā jñānād yathetarasyānucyamānāni.
[10,2.51]	īhārthāś cābhāvāt sūktavākavat.
[10,2.52]	syur vārthavādatvāt.
[10,2.53]	necchābhidhānāt tadabhāvād itarasmin.
[10,2.54]	syur vā hotṛkāmāḥ.
[10,2.55]	na tadāṣīṣṭvāt.
[10,2.56]	sarvasvārasya diṣṭagatau samāpanaṃ na vidyate karmaṇo jīvasaṃyogāt.
[10,2.57]	syād vobhayoḥ pratkṣaśiṣṭatvāt.
[10,2.58]	gate karamāsthiyajñavat.
[10,2.59]	jīvaty avacanam āyur āśiṣas tadarthatvāt.
[10,2.60]	vacanaṃ vā bhāgitvāt prāgyathoktāt.
[10,2.61]	kriyā syād dharmamātrāṇām.
[10,2.62]	guṇalope ca mukhyasya.
[10,2.63]	muṣṭilopāt tu saṃkhyālopas tadguṇatvāt syāt.
[10,2.64]	na nirvāpaśeṣatvāt.
[10,2.65]	saṃkhyā tu codanāṃ prati sāmānyāt tadvikāraḥ saṃyogāc ca paraṃ muṣṭheḥ.
[10,2.66]	na codanābhisambandhāt prakratau saṃskārayogāt.
[10,2.67]	autpattike tu dravyato vikāraḥ syād akāryātvāt.
[10,2.68]	naimittike tu kāryatvāt prakṛteḥ syāt tadāpatteḥ.
[10,2.69]	vipratiṣedhe tadvacanāt prākṛtaguṇalopaḥ syāt tena ca karmasaṃyogāt.
[10,2.70]	pareṣāṃ pratiṣedhaḥ syāt.
[10,2.71]	pratiṣedhāc ca.
[10,2.72]	arthābhāve saṃskāratvaṃ syāt.
[10,2.73]	arthena ca viparyāse tādaryāttattvameva syāt.

{10,3}

[10,3.1]	vikṛtau śabdavattvāt pradhānasya guṇānām adhikotpattiḥ sannidhānāt.
[10,3.2]	prakṛtivat tasya cānuparodhaḥ.
[10,3.3]	codanāprabhutvāc ca.
[10,3.4]	pradhānaṃ tv aṅgasaṃyuktaṃ tathābhūtam apūrvaṃ syāt tasya vidhyupalakṣaṇāt sarvo hi pūrvavān vidhir aviśeṣāt pravartitaḥ.
[10,3.5]	na cāṅgavidhir anaṅge syāt.
[10,3.6]	karmaṇaś caikaśabdyāt sannidhāne vidher ākhyāsaṃyogo guṇena tadvikāraḥ syāc chabdasya vidhigāmitvād guṇasya copadeśyatvāt.
[10,3.7]	akāryatvāc ca nāmnaḥ.
[10,3.8]	tulyā ca prabhutā guṇe.
[10,3.9]	sarvam evaṃ pradhānam iti cet.
[10,3.10]	tathābhūtena saṃyogād yathārthavidhayaḥ syuḥ.
[10,3.11]	vidhitvaṃ cāviśiṣṭham evaṃ prākṛtānāṃ vaikṛtaiḥ karmaṇāyogāt tasmāt sarvaṃ pradhānārtham.
[10,3.12]	samatvāc ca tadutpatteḥ saṃskārair adhikāraḥ syāt.
[10,3.13]	hiraṇyagarbhaḥ pūrvasya mantraliṅgāt.
[10,3.14]	prakṛtyanuparodhāc ca.
[10,3.15]	uttarasya vā mantrārthitvāt.
[10,3.16]	vidhyatideśāt tacchrutau vikāraḥ syād guṇānām upadeśyatvāt.
[10,3.17]	pūrvasmiṃś cāmantratvadarśanāt.
[10,3.18]	saṃskāre tu kriyāntara tasya vidhāyakatvāt.
[10,3.19]	prakṛtyanuparodhāc ca.
[10,3.20]	vidhes tu tatra bhāvāt sandehe yasya śabdas tadarthaḥ syāt.
[10,3.21]	saṃskārasāmarthyād guṇasaṃyogāc ca.
[10,3.22]	vipratiṣedhāt kriyāprakaraṇe syāt.
[10,3.23]	ṣaḍbhir dīkṣayatīti tāsāṃ mantravikāraḥ śrutisaṃyogāt.
[10,3.24]	abhyāsāt tu pradhānasya.
[10,3.25]	āvṛttyā mantrakarma syāt.
[10,3.26]	api vā pratimantratvāt prākṛtānām ahāniḥ syād anyāyaś ca kṛte 'bhyāsaḥ.
[10,3.27]	paurvāparyañcābhyāse nopapadyate naimittikatvāt.
[10,3.28]	tatprathaktvaṃ ca darśayati.
[10,3.29]	na cāviśeṣād vyapadeśaḥ syāt.
[10,3.30]	agnyādheyasya naimittike guṇavikāre dakṣiṇādānam adhikaṃ syād vākyasaṃyogāt.
[10,3.31]	śiṣṭhatvāc cetarāsāṃ yathāsthānam.
[10,3.32]	vikāras tv aprakaraṇe hi kāmyāni.
[10,3.33]	śaṅkate ca nivṛtter ubhayatvaṃ hi śrūyate.
[10,3.34]	vāso vatsañ ca sāmānyāt.
[10,3.35]	arthāpattes taddharmāḥ syān nimittākhyābhisaṃyogāt.
[10,3.36]	dāne pāko 'rthalakṣaṇaḥ.
[10,3.37]	pākastha cānnakārittvāt.
[10,3.38]	tathābhighāraṇasya.
[10,3.39]	dravyavidhisannidhau saṅkhyā teṣāṃ guṇatvāt syāt.
[10,3.40]	samatvāt tu guṇānām ekasya śrutisaṃyogāt.
[10,3.41]	yasya vā sannidhāne syād vākyato hy abhisambandhaḥ.
[10,3.42]	asaṃyuktās tu tulyavad itarābhir vidhīyante tasmāt sarvādhikāraḥ syāt.
[10,3.43]	asaṃyogād vidhiśrutāv ekajātādhikāraḥ syāc chrutyākopāt kratoḥ.
[10,3.44]	śabdārthaś cāpi lokavat.
[10,3.45]	sāpaśūnām utpattito vibhāgāt.
[10,3.46]	aniyamo 'viśeṣāt.
[10,3.47]	bhāgitvād vā gavāṃ syāt.
[10,3.48]	pratyayāt.
[10,3.49]	liṅgadarśanāc ca.
[10,3.50]	tatra dānaṃ vibhāgena pradānānāṃ pṛthaktvāt.
[10,3.51]	parikrayāc ca lokavat.
[10,3.52]	vibhāgaṃ cāpi darśayati.
[10,3.53]	samaṃ syād aśrutitvāt.
[10,3.54]	api vā karmavaiṣamyāt.
[10,3.55]	atulyāḥ syuḥ parikraye viṣamākhyā vidhiśrutau parikrayān na karmaṇy upapadyate darśanād viśeṣasya tathābhyudaye.
[10,3.56]	tasya dhenur iti gavāṃ prakṛtau vibhaktacoditatvāt sāmānyāt tadvikāraḥ syād yatheṣṭir guṇaśabdena.
[10,3.57]	sarvasya vā kratusaṃyogād ekatvaṃ dakṣiṇārthasya guṇānāṃ kāryaikatvād arthe vikṛtau śrutibhūtaṃ syāt tasmāt samavāyād dhi karmabhiḥ.
[10,3.58]	codanānām anāśrayāl liṅgena niyamaḥ syāt.
[10,3.59]	ekā pañceti dhenuvat.
[10,3.60]	trivatsaś ca.
[10,3.61]	tathā ca liṅgadarśanam.
[10,3.62]	eke tu śrutibhūtatvāt saṅkhyayā gavāṃ liṅgaviśeṣeṇa.
[10,3.63]	prākāśau tatheti cet.
[10,3.64]	api tv avayavārthatvād vibhaktaprakṛtitvād guṇedantāvikāraḥ syāt.
[10,3.65]	dhenuvac cāśvadakṣiṇā sa brahmaṇa iti puruṣāpanayo yathā hiraṇyasya.
[10,3.66]	eke tu kartṛsaṃyogāt sragvat tasya liṅgaviśeṣeṇa.
[10,3.67]	api vā tadadhikārād dhiraṇyavad vikāraḥ syāt.
[10,3.68]	tathā ca somacamasaḥ.
[10,3.69]	sarvavikāro vā kratvarthe pratiṣedhāt paśūnāṃ.
[10,3.70]	brahmadāne 'viśiṣṭam iti cet.
[10,3.71]	utsargasya kratvarthatvāt pratiṣiddhasya karma syānn a ca gauṇaḥ prayojanam arthaḥ sa dakṣiṇānāṃ syāt.
[10,3.72]	yadi tu brahmaṇas tadūnaṃ tadvikāraḥ syāt.
[10,3.73]	sarvaṃ vā puruṣāpanayāt tāsāṃ kratupradhānatvāt.
[10,3.74]	yajuryukte 'dhvaryor dakṣiṇā vikāraḥ syāt.
[10,3.75]	api vā śrutibhūtatvāt sarvāsāṃ tasya bhāgo niyamyate.

{10,4}

[10,4.1]	prakṛtiliṅgāsaṃyāgāt karmasaṃskāraṃ vikṛtāvadhikaṃ syāt.
[10,4.2]	codanāliṅgasaṃyoge tadvikāraḥ pratīyeta prakṛtisannidhānāt.
[10,4.3]	sarvatra tu grahāmnānam adhikaṃ syāt prakṛtivat.
[10,4.4]	adhikaiś caikavākyatvāt.
[10,4.5]	liṅgadarśanāc ca.
[10,4.6]	prājāpatyeṣu cāmnānāt.
[10,4.7]	āmane liṅgadarśanāt.
[10,4.8]	upageṣu śaravat syāt prakṛtiliṅgasayogāt.
[10,4.9]	ānarthakyāt tv adhikaṃ syāt.
[10,4.10]	saṃskāre cānyasaṃyogāt.
[10,4.11]	prayājavad iti cet.
[10,4.12]	nārthānyatvāt.
[10,4.13]	ācchādane tv aikārthyāt prākṛtasya vikāraḥ syāt.
[10,4.14]	adhikaṃ vānyārthatvāt.
[10,4.15]	samuccayaṃ ca darśayati.
[10,4.16]	sāmasvarthāntaraśruter avikāraḥ pratīyeta.
[10,4.17]	arthe tv aśrūyamāṇe śeṣatvāt prākṛtasya vikāraḥ syāt.
[10,4.18]	sarveṣām aviśeṣāt.
[10,4.19]	ekasyā vā śrutisāmarthyāt prakṛteś cāvikārāt.
[10,4.20]	stomavibṛddhau tv adhikaṃ syād avibṛddhau dravyavikāraḥ syād itarasyāśrutitvāc ca.
[10,4.21]	pavamāne syātāṃ tasminn āvāpodvāpadarśanāt.
[10,4.22]	vacanāni tv apūrvatvāt.
[10,4.23]	vidhiśabdasya mantratve bhāvaḥ syāt tena codanā.
[10,4.24]	śeṣāṇāṃ vā codanaikatvāt tasmāt sarvatra śrūyate.
[10,4.25]	tathottarasyāṃ tatau tatprakṛtitvāt.
[10,4.26]	prākṛtasya guṇaśrutau saguṇenābhidhānaṃ syāt.
[10,4.27]	avikāro vārthaśabdānapāyāt syād dravyavat.
[10,4.28]	tathārambhāsamavāyād vā coditenābhidhānaṃ syād arthasya śrutisamavāyitvād avacane ca guṇaśāstram anarthakaṃ syāt.
[10,4.29]	dravyeṣv ārambhagāmitvād arthe vikāraḥ sāmarthyāt.
[10,4.30]	budhanvān pavamānavad viśeṣanirdeśāt.
[10,4.31]	mantraniśeṣanirdeśān na devatāvikāraḥ syāt.
[10,4.32]	vidhinigamabhedāt prakṛtau tatprakṛtitvād vikṛtāv api bhedaḥ syāt.
[10,4.33]	yathoktaṃ vā vipratipatter na codanā.
[10,4.34]	sviṣṭakṛddevatānyatve tacchabdatvān nivarteta.
[10,4.35]	saṃyogo vārthāpatter abhidhānasya karmajatvāt.
[10,4.36]	saguṇasya guṇalope nigameṣu yāvaduktaṃ syāt.
[10,4.37]	sarvasya vaikakarmyāt.
[10,4.38]	sviṣṭakṛd āvāpiko 'nuyāje syāt prayojanavad aṅgānām arthasaṃyogāt.
[10,4.39]	anvāheti ca śastravatkarma syāc codanāntarāt.
[10,4.40]	saṃskāro vā coditasya śabdasya vacanārthatvāt.
[10,4.41]	syād guṇārthatvāt.
[10,4.42]	manotāyāṃ tu vacanād avikāraḥ syāt.
[10,4.43]	pṛṣṭhārthe 'nyad rathantarāt tadyonipūrvatvād ṛcāṃ pravibhaktatvāt.
[10,4.44]	svayonau vā sarvākhyatvāt.
[10,4.45]	yūpavad iti cet.
[10,4.46]	na karmasaṃyogāt.
[10,4.47]	kāryatvād uttarayor yathāprakṛti.
[10,4.48]	samānadevate vā tṛcasyāvibhāgāt.
[10,4.49]	grahāṇāṃ devatānyatve stutaśastrayoḥ karmatvād avikāraḥ syāt.
[10,4.50]	ubhayapānāt pṛṣadājye dadhnaḥ syād upalakṣaṇaṃ nigameṣu pātavyasyopalakṣaṇāt.
[10,4.51]	na vā parārthatvād yajñapativat.
[10,4.52]	syād vā āvāhanasya tādarthyāt.
[10,4.53]	na vā saṃskāraśabdatvāt.
[10,4.54]	syād vā dravyābhidhānāt.
[10,4.55]	dadhnas tu guṇabhūtatvād ājyapānigamāḥ syur guṇatvaṃ śruter ājyapradhānatvāt.
[10,4.56]	dadhi vā syāt pradhānam ājye prathamāntyasaṃyogāt.
[10,4.57]	api vājyapradhānatvād guṇārthe vyapadeśe bhaktyā saṃskāraśabdaḥ syāt.
